Ref Name,Qty,Value,Component,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
C38,1,220uF,EEEFK1A221XP,FKSV(D8),Panasonic,EEEFK1A221XP,7083342,,"Ecap 220uF 10V D8 Case FK SMD Panasonic 220F 10 V dc Aluminium Electrolytic Capacitor, FK SMD Series 2000h 6.3 Dia. x 7.7mm"
C35,1,680uF,EEVEB2C680SM,EBV(K16),Panasonic,EEVEB2C680SM,,,"PANASONIC ELECTRONIC COMPONENTS - EEVEB2C680SM - CAP, ALU ELEC, 68UF, 160V, SMD"
CONN1,1,,FDU_IGBT_CONN,DSC,,,,,
IC2,1,,FDU_ISense,DSC,,,,,
IC3,1,,FDU_ISense,DSC,,,,,
LD1,1,LD1117-3.3,LD1117SOT223,SOT223,,,,,
LED2,1,,LED0805,CHIPLED_0805,,,,,"LED0603 - 0603 Surface Mount Package2mA:Green LED - Low Power (3.9mcd, 2ma, 1.7Vf) - Digikey: 475-2709-2-NDOrange LED - Low Power (9.8mcd, 2ma, 1.8Vf) - Digikey: 475-1194-2-NDRed LED - Low Power (5mcd, 2ma, 1.8Vf) - Digikey: 475-1195-2-NDYellow LED - Low Power (7mcd, 2ma, 1.8Vf) - Digikey: 475-1196-2-ND5mA:Blue LED - Low Power (17mcd, 5ma, 2.9Vf) - Digikey: LNJ937W8CRACT-ND0805 - 0805 Surface Mount Package2mA:Red LED (8.8mcd, 2mA, 1.8Vf, Clear) - Low Power [Digikey: 475-2510-1-ND]Green LED (5mcd, 2mA, 1.8Vf, Clear) - Low Power [Digikey: 475-2730-1-ND]Yellow LED (11.3mcd, 2mA, 1.8Vf, Clear) - Low Power [Digikey: 475-2555-1-ND]20mA:Red LED (104mcd, 20mA, Diffused) - LS R976 [Digikey: 475-1278-6-ND]Red LED (12mcd, 20mA, 2.0Vf, Clear) - APT2012EC [Digikey: 754-1128-1-ND]Green LED (15mcd, 20mA, 2.2Vf, Clear) - APT2012GC [Digikey: 754-1131-1-ND]Orange LED (160mcd, 20mA, 2.1Vf, Clear) - APT2012SECK [Digikey: 754-1130-1-ND]1206 - 1206 Surface Mount PackageGreen LED (26mcd, 20mA, Diffused) - LG N971  [Digikey: 475-1407-6-ND]Red LED (15mcd, 20mA, Diffused) - LH N974 [Digikey: 475-1416-6-ND]"
LED1,1,,LED0805,CHIPLED_0805,,,,,"LED0603 - 0603 Surface Mount Package2mA:Green LED - Low Power (3.9mcd, 2ma, 1.7Vf) - Digikey: 475-2709-2-NDOrange LED - Low Power (9.8mcd, 2ma, 1.8Vf) - Digikey: 475-1194-2-NDRed LED - Low Power (5mcd, 2ma, 1.8Vf) - Digikey: 475-1195-2-NDYellow LED - Low Power (7mcd, 2ma, 1.8Vf) - Digikey: 475-1196-2-ND5mA:Blue LED - Low Power (17mcd, 5ma, 2.9Vf) - Digikey: LNJ937W8CRACT-ND0805 - 0805 Surface Mount Package2mA:Red LED (8.8mcd, 2mA, 1.8Vf, Clear) - Low Power [Digikey: 475-2510-1-ND]Green LED (5mcd, 2mA, 1.8Vf, Clear) - Low Power [Digikey: 475-2730-1-ND]Yellow LED (11.3mcd, 2mA, 1.8Vf, Clear) - Low Power [Digikey: 475-2555-1-ND]20mA:Red LED (104mcd, 20mA, Diffused) - LS R976 [Digikey: 475-1278-6-ND]Red LED (12mcd, 20mA, 2.0Vf, Clear) - APT2012EC [Digikey: 754-1128-1-ND]Green LED (15mcd, 20mA, 2.2Vf, Clear) - APT2012GC [Digikey: 754-1131-1-ND]Orange LED (160mcd, 20mA, 2.1Vf, Clear) - APT2012SECK [Digikey: 754-1130-1-ND]1206 - 1206 Surface Mount PackageGreen LED (26mcd, 20mA, Diffused) - LG N971  [Digikey: 475-1407-6-ND]Red LED (15mcd, 20mA, Diffused) - LH N974 [Digikey: 475-1416-6-ND]"
X1,1,8.00MHz,LFXTAL011301,LFXTAL011301,IQD,LFXTAL011301,4789656,,"Crystal SMD 8.000MHz HC49S-SMD Crystal 8MHz, 30ppm, 2-Pin HC-49-4H-SMX"
IC8,1,,LM2596S-5.0_NOPB,TO170P1435X465-6N,Texas Instruments,LM2596S-5.0/NOPB,5333692,,"SIMPLE SWITCHER 4.5V to 40V, 3A Low Component Count Step-Down Regulator"
