Ref Name,Qty,Component,Value,Manufacturer,MPN,RS Part Number,Farnell Part Number,Description,
C7,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C8,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C9,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C11,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C12,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C15,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C16,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C17,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C23,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C22,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C24,1,C-EU025-024X044,1µ,Murata,RHEL81H105K2A2H03B,,2529486,"RHEL81H105K2A2H03B  Multilayer Ceramic Capacitor, 1 µF, 50 V, RHE Series, ± 10%, Radial Leaded, X8L",
C1,1,C-EU025-024X044,22nF,Vishay,K223K15X7RF53L2,,1141773,"K223K15X7RF53L2  Multilayer Ceramic Capacitor, 0.022 µF, 50 V, Mono-Kap Series, ± 10%, Radial Leaded, X7R",
C13,1,C-EU025-024X044,22nF,Vishay,K223K15X7RF53L2,,1141773,"K223K15X7RF53L2  Multilayer Ceramic Capacitor, 0.022 µF, 50 V, Mono-Kap Series, ± 10%, Radial Leaded, X7R",
C14,1,C-EU025-024X044,22nF,Vishay,K223K15X7RF53L2,,1141773,"K223K15X7RF53L2  Multilayer Ceramic Capacitor, 0.022 µF, 50 V, Mono-Kap Series, ± 10%, Radial Leaded, X7R",
C18,1,C-EU050-024X044,0.1µ,MULTICOMP,MC0805Y104M500A2.54MM,,2112751,"MC0805Y104M500A2.54MMÊ Multilayer Ceramic Capacitor, 0.1 µF, 50 V, MC Series, ± 20%, Radial Leaded, Y5V",
C19,1,C-EU050-024X044,0.1µ,MULTICOMP,MC0805Y104M500A2.54MM,,2112751,"MC0805Y104M500A2.54MMÊ Multilayer Ceramic Capacitor, 0.1 µF, 50 V, MC Series, ± 20%, Radial Leaded, Y5V",
C95,1,C-EU050-024X044,10n,MULTICOMP,MCRR25103X7RK0100,,1216425,"MCRR25103X7RK0100  Multilayer Ceramic Capacitor, 0.01 µF, 100 V, MCRR Series, ± 10%, Radial Leaded, X7R",
C96,1,C-EU050-024X044,10n,MULTICOMP,MCRR25103X7RK0100,,1216425,"MCRR25103X7RK0100  Multilayer Ceramic Capacitor, 0.01 µF, 100 V, MCRR Series, ± 10%, Radial Leaded, X7R",
C100,1,C-EU050-024X044,10n,MULTICOMP,MCRR25103X7RK0100,,1216425,"MCRR25103X7RK0100  Multilayer Ceramic Capacitor, 0.01 µF, 100 V, MCRR Series, ± 10%, Radial Leaded, X7R",
C101,1,C-EU050-024X044,10n,MULTICOMP,MCRR25103X7RK0100,,1216425,"MCRR25103X7RK0100  Multilayer Ceramic Capacitor, 0.01 µF, 100 V, MCRR Series, ± 10%, Radial Leaded, X7R",
C102,1,C-EU050-024X044,47n,MULTICOMP,MCRR25473X7RK0050,,1216437,"MCRR25473X7RK0050  Multilayer Ceramic Capacitor, 0.047 µF, 50 V, MCRR Series, ± 10%, Radial Leaded, X7R",
C103,1,C-EU050-024X044,47n,MULTICOMP,MCRR25473X7RK0050,,1216437,"MCRR25473X7RK0050  Multilayer Ceramic Capacitor, 0.047 µF, 50 V, MCRR Series, ± 10%, Radial Leaded, X7R",
C97,1,C-EU050-024X044,100n,MULTICOMP,MC0805Y104M500A2.54MM,,2112751,"MC0805Y104M500A2.54MMÊ Multilayer Ceramic Capacitor, 0.1 µF, 50 V, MC Series, ± 20%, Radial Leaded, Y5V",
C98,1,C-EU050-024X044,100n,MULTICOMP,MC0805Y104M500A2.54MM,,2112751,"MC0805Y104M500A2.54MMÊ Multilayer Ceramic Capacitor, 0.1 µF, 50 V, MC Series, ± 20%, Radial Leaded, Y5V",
C99,1,C-EU050-024X044,100n,MULTICOMP,MC0805Y104M500A2.54MM,,2112751,"MC0805Y104M500A2.54MMÊ Multilayer Ceramic Capacitor, 0.1 µF, 50 V, MC Series, ± 20%, Radial Leaded, Y5V",
C104,1,C-USC0805,0.1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C106,1,C-USC0805,0.1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C107,1,C-USC0805,0.1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C108,1,C-USC0805,0.1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C109,1,C-USC0805,0.01uF,MULTICOMP,MCU0805R103KCT,,9406352,"SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 0.01 µF, 50 V, ± 10%, X7R",
C33,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C34,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C35,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C36,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C37,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C38,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C45,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C46,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C55,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C56,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C57,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C58,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C59,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C60,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C67,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C68,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C77,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C78,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C79,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C80,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C81,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C82,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C89,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C90,1,C-USC0805,1uF,MURATA,GCM21BR71E105KA56L,723-5036,,"Murata 0805 GCM 1_F Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C94,1,C-USC0805,10n,Kemet,C0805C103K5RACTU,,2392340,"C0805C103K5RACTU  SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 0.01 µF, 50 V, ± 10%, X7R",
C105,1,C-USC0805,47nF,MULTICOMP,MC0805B473K500CT,,2310725,"MC0805B473K500CT  SMD Multilayer Ceramic Capacitor, 0805 [2012 Metric], 0.047 µF, 50 V, ± 10%, X7R",
C27,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C28,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C49,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C50,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C71,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C72,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C92,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C93,1,C-USC0805,100n,AVX,08053C104KAT2A,390-990,,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 25 V dc X7R Dielectric ±10% SMD",
C39,1,C-USC0805,220pf,AVX,08051A221JAT2A,464-6593,,"AVX 0805 Standard 220pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C40,1,C-USC0805,220pf,AVX,08051A221JAT2A,464-6593,,"AVX 0805 Standard 220pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C61,1,C-USC0805,220pf,AVX,08051A221JAT2A,464-6593,,"AVX 0805 Standard 220pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C62,1,C-USC0805,220pf,AVX,08051A221JAT2A,464-6593,,"AVX 0805 Standard 220pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C83,1,C-USC0805,220pf,AVX,08051A221JAT2A,464-6593,,"AVX 0805 Standard 220pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C84,1,C-USC0805,220pf,AVX,08051A221JAT2A,464-6593,,"AVX 0805 Standard 220pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C41,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C42,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C43,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C44,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C63,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C64,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C65,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C66,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C85,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C86,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C87,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C88,1,C-USC0805,330pF,AVX,08051A331JAT2A,464-6616,,"AVX 0805 Standard 330pF Ceramic Multilayer Capacitor, 100 V dc C0G Dielectric ±5% SMD",
C20,1,CAP16mm,220µ,Panasonic, EEUFM1E221,526-1480,,Panasonic Aluminium Electrolytic Capacitor 220_F 25 V dc 8mm Through Hole series,
C21,1,CAP16mm,680µ,Wurth Elektronik,8.60021E+11,840-5024,,Wurth Elektronik Aluminium Electrolytic Capacitor 680_F 63 V dc 16mm Radial,
C10,1,CPOL-EUE2-4,10u,MULTICOMP,MCGPR63V106M5X11,,9451480,"MCGPR63V106M5X11  Electrolytic Capacitor, 10 µF, 63 V, MCGPR Series, ± 20%, Radial Leaded, 5 mm",
C91,1,CPOL-EUE2-5,10u,MULTICOMP,MCGPR63V106M5X11,,9451480,"MCGPR63V106M5X11  Electrolytic Capacitor, 10 µF, 63 V, MCGPR Series, ± 20%, Radial Leaded, 5 mm",
C25,1,CPOL-EUE2.5-5,100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C26,1,CPOL-EUE2.5-5,100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C29,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C30,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C31,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C32,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C47,1,CPOL-EUE2.5-5,100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C48,1,CPOL-EUE2.5-5,100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C51,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C52,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C53,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C54,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C69,1,CPOL-EUE2.5-5,100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C70,1,CPOL-EUE2.5-5,100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C73,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C74,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C75,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
C76,1,"CPOL-EUE2,5-6E",100µ,Panasonic,EEU-FC1E101S,,1848439," EEU-FC1E101S  Electrolytic Capacitor, 100 µF, 25 V, FC Series, ± 20%, Radial Leaded, 6.3 mm",
U2,1,DC_DC_5K2,,Murata Power Solutions,MEJ1S0505SC,829-4828,,"Murata Power Solutions Isolated DC-DC Converter, Vin 4.5 _ 5.5 V dc, Vout 5V, I/O isolation 5.2kV dc",
DC1,1,DC_DC_IGBT,,Murata Power Solutions,MGJ2D051505SC,816-3493,,"Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5 _ 5.5 V, Vout 15 V, -5 V, I/O isolation 5200V dc",
DC2,1,DC_DC_IGBT,,Murata Power Solutions,MGJ2D051505SC,816-3493,,"Murata Power Solutions 2W Isolated DC-DC Converter, Vin 4.5 _ 5.5 V, Vout 15 V, -5 V, I/O isolation 5200V dc",
