Name,Value,Package,PDF
CN1,,GT8E-4P-DS,
CN2,,TE AMP 1318384-4,
CN3,,GT8E-16DP-DS,
CN4,,GT8E-12DP-DS,
CN5,,GT8E-8P-DS,
CN6,,GT8E-5P-DS,
R1,120R,Optional,
R2,1k2,,
