Ref Name,Value,Package,PDF
R74,2k2,0805 1%,
R67,4k7,0805 1%,
R68,10k,0805 5%,
R69,60R4,0805 1%,
R70,60R4,0805 1%,
R29,150R,1/4W 1%,
R30,150R,1/4W 1%,
R31,150R,1/4W 1%,
R32,150R,1/4W 1%,
R41,150R,1/4W 1%,
R42,150R,1/4W 1%,
R43,150R,1/4W 1%,
R44,150R,1/4W 1%,
R53,150R,1/4W 1%,
R54,150R,1/4W 1%,
R55,150R,1/4W 1%,
R56,150R,1/4W 1%,
R2,4.7R,1W 5%,
R22,4.7R,1W 5%,
R37,4.7R,1W 5%,
R38,4.7R,1W 5%,
R49,4.7R,1W 5%,
R50,4.7R,1W 5%,
RN2,1.2k,RN-9,
D1,SB540,DO-201AD,
IC11,SN65HVD234D,SOIC,
U3,TJA1055TC,SOIC,
IC10,TLC274P,DIP-14,
Z1,CG0603MLC-05E,0603 TVS,
Z2,CG0603MLC-05E,0603 TVS,
CONN5,,,
