Part,Value,Package,PDF
IC1,LM386M,,
R1,1k2,,
R2*,3k3,GND,
R3*,3k3,,
R4,220R,,
R5,220R,,
R6,10R,,
C1,22nF,,
C2,22nF,,
C3,22nF,,
C4,100nF,,
C5,100nF,,
C6,100uF,,
C7,100uF,,
C8,100uF,,
C9,44nF,(2x22nF),
